Activity_ID,Project_ID,Employee_ID,Activity_Date,Activity_Type,Hours_Worked,Cost,Tasks_Completed,Issues_Raised,Issues_Resolved
A000034,P0096,E011,2026-03-14,Project Administration,8.2,613.73,6,1,2
A000035,P0044,E046,2025-10-03,Kickoff,5.7,411.64,4,1,2
A000036,P0063,E010,2025-09-11,Client Review,2.5,101.55,7,0,1
A000037,P0052,E050,2025-09-16,Data Collection,4.8,242.58,6,0,0
A000038,P0049,E032,2025-04-28,Stakeholder Meeting,1.9,98.02,4,0,1
A000039,P0113,E026,2026-05-19,Analysis,5.7,348.06,4,0,1
A000040,P0012,E011,2026-07-06,Reporting,6.1,550.76,0,1,2
A000041,P0093,E029,2025-03-03,Issue Resolution,4.8,284.25,6,0,0
A000042,P0107,E028,2026-01-27,Kickoff,6.1,333.56,5,1,2
A000043,P0079,E050,2026-06-03,Reporting,6.5,255.17,7,0,1
A000044,P0048,E042,2025-07-17,Data Collection,6.1,354.39,0,1,1
A000045,P0020,E025,2026-05-18,Kickoff,2.5,95.35,1,0,0
A000046,P0082,E020,2026-04-11,Stakeholder Meeting,4.9,278.87,5,0,1
A000047,P0057,E020,2025-08-21,Reporting,6.5,604.94,3,0,1
A000048,P0018,E019,2025-03-20,Data Collection,9.4,642.62,4,0,0
A000049,P0044,E001,2025-07-30,Stakeholder Meeting,4.8,228.15,3,1,2
A000050,P0116,E002,2026-04-03,Project Administration,6.9,365.38,5,0,0
A000051,P0032,E038,2026-05-11,Stakeholder Meeting,7.7,533.35,5,1,1
A000052,P0022,E013,2026-05-31,Project Administration,5.0,180.79,1,0,1
A000053,P0082,E021,2026-03-06,Issue Resolution,8.4,747.38,6,0,0
A000054,P0024,E035,2026-07-04,Stakeholder Meeting,8.5,592.35,3,0,0
A000055,P0111,E031,2026-02-11,Reporting,9.0,580.83,4,0,1
A000056,P0104,E019,2025-04-16,Client Review,6.6,514.63,4,1,2
A000057,P0119,E038,2025-11-04,Quality Review,11.4,535.98,5,0,0
A000058,P0110,E008,2026-06-08,Stakeholder Meeting,4.0,145.19,2,0,0
A000059,P0030,E024,2026-01-23,Analysis,10.8,776.66,0,0,1
A000060,P0026,E006,2026-05-24,Data Collection,7.4,330.04,1,1,2
A000061,P0042,E027,2025-09-22,Kickoff,8.9,318.04,7,1,1
A000062,P0057,E005,2025-07-19,Stakeholder Meeting,4.7,426.45,1,1,2
A000063,P0106,E048,2026-02-10,Issue Resolution,7.6,625.52,1,0,1
A000064,P0089,E033,2025-04-05,Analysis,9.1,380.85,6,0,1
A000065,P0078,E013,2025-10-20,Data Collection,2.8,248.59,1,0,0
A000066,P0106,E031,2026-02-14,Analysis,5.1,199.18,3,1,1
A000067,P0078,E018,2025-12-14,Reporting,0.5,41.59,2,0,1
A000068,P0046,E026,2026-03-02,Data Collection,5.1,305.33,5,1,2
A000069,P0050,E009,2025-05-25,Data Collection,3.5,231.32,4,1,1
A000070,P0063,E026,2025-08-17,Data Collection,5.0,375.5,4,1,1
A000071,P0011,E006,2025-02-19,Analysis,12.8,523.85,4,1,2
A000072,P0090,E008,2025-08-12,Data Collection,9.8,876.76,6,0,1
A000073,P0079,E030,2026-06-26,Issue Resolution,1.9,82.88,4,0,0
A000074,P0088,E026,2025-11-27,Project Administration,6.9,631.32,4,0,1
A000075,P0065,E015,2025-07-16,Stakeholder Meeting,7.5,303.67,7,0,1
A000076,P0094,E003,2025-05-19,Kickoff,4.7,213.01,0,1,1
A000077,P0114,E022,2026-05-15,Kickoff,5.9,226.87,6,0,0
A000078,P0069,E047,2026-03-06,Analysis,6.2,364.98,1,1,2
A000079,P0054,E036,2025-08-20,Quality Review,2.1,147.95,2,1,1
A000080,P0013,E003,2025-04-19,Quality Review,2.9,210.26,0,0,0
A000081,P0094,E047,2025-05-13,Analysis,5.9,499.8,4,0,0
A000082,P0109,E022,2025-10-25,Stakeholder Meeting,5.7,380.21,6,0,0
A000083,P0084,E029,2026-04-02,Analysis,3.7,242.74,3,0,0
A000084,P0104,E001,2025-05-17,Quality Review,3.5,190.99,5,1,2
A000085,P0104,E016,2025-02-19,Client Review,5.3,392.55,3,1,2
A000086,P0096,E040,2026-01-27,Kickoff,7.7,689.24,6,1,2
A000087,P0061,E017,2026-02-17,Quality Review,5.3,298.49,7,0,1
A000088,P0012,E009,2026-05-25,Reporting,9.6,541.26,5,1,1
A000089,P0001,E005,2026-09-07,Client Review,3.8,211.28,2,0,1
A000090,P0025,E047,2025-09-02,Reporting,6.0,291.87,6,2,2
A000091,P0052,E041,2025-09-26,Quality Review,4.6,317.41,0,1,1
A000092,P0090,E003,2025-07-27,Client Review,7.0,289.34,7,1,2
A000093,P0055,E047,2026-03-18,Stakeholder Meeting,3.5,297.81,6,0,0
A000094,P0003,E042,2025-06-30,Reporting,10.3,445.63,5,1,1
A000095,P0026,E018,2026-03-18,Analysis,1.3,59.07,4,0,0
A000096,P0118,E033,2025-11-10,Stakeholder Meeting,9.8,383.32,2,0,0
A000097,P0119,E013,2025-11-01,Data Collection,5.7,329.92,3,0,1
A000098,P0046,E013,2025-12-14,Stakeholder Meeting,6.9,555.17,0,0,1
A000099,P0097,E036,2025-10-09,Data Collection,8.8,788.53,2,0,1
A000100,P0087,E011,2026-05-07,Analysis,7.6,464.03,4,0,1
A000101,P0112,E018,2025-04-30,Stakeholder Meeting,3.7,181.7,2,1,2
A000102,P0107,E018,2026-01-10,Quality Review,7.0,549.77,6,0,0
A000103,P0076,E008,2025-07-20,Project Administration,10.2,778.14,6,1,1
A000104,P0048,E042,2025-05-19,Kickoff,3.3,250.47,4,1,2
A000105,P0076,E034,2025-07-13,Project Administration,10.8,665.34,2,0,1
A000106,P0039,E044,2026-08-25,Analysis,6.5,447.97,2,1,2
A000107,P0042,E027,2025-09-11,Client Review,4.4,170.36,4,0,1
A000108,P0074,E009,2025-09-11,Client Review,3.3,165.0,5,0,1
A000109,P0069,E014,2026-03-29,Project Administration,4.9,444.02,1,2,3
A000110,P0070,E018,2026-07-07,Kickoff,0.6,22.5,3,1,1
A000111,P0047,E048,2025-06-29,Project Administration,4.5,238.93,3,0,0
A000112,P0050,E012,2025-07-11,Kickoff,4.8,233.27,2,1,2
A000113,P0002,E035,2025-10-22,Issue Resolution,2.8,119.88,1,0,0
A000114,P0073,E007,2026-08-27,Reporting,7.4,669.41,6,1,1
A000115,P0070,E048,2026-07-13,Quality Review,5.0,212.77,3,0,1
A000116,P0113,E033,2026-07-30,Stakeholder Meeting,3.9,251.01,4,0,1
A000117,P0061,E022,2026-06-22,Kickoff,4.7,401.24,0,1,2
A000118,P0057,E018,2025-08-15,Issue Resolution,6.4,225.49,2,0,1
A000119,P0009,E018,2026-04-20,Client Review,5.7,236.62,1,0,1
A000120,P0024,E012,2026-10-14,Project Administration,3.7,205.4,2,1,1
A000121,P0041,E030,2026-04-10,Client Review,5.8,254.34,6,1,2
A000122,P0046,E044,2025-12-04,Project Administration,5.4,248.18,4,0,1
A000123,P0044,E013,2025-10-12,Issue Resolution,2.7,190.27,7,1,2
A000124,P0048,E038,2025-08-06,Stakeholder Meeting,4.8,217.14,3,0,1
A000125,P0093,E029,2025-01-23,Client Review,6.9,505.98,6,0,1
A000126,P0016,E039,2026-08-02,Analysis,6.9,620.52,1,1,2
A000127,P0040,E039,2026-07-07,Issue Resolution,4.9,238.95,6,0,1
A000128,P0020,E002,2026-06-16,Reporting,7.2,343.71,4,0,1
A000129,P0037,E002,2025-08-15,Stakeholder Meeting,3.1,110.62,0,1,1
A000130,P0083,E046,2025-04-23,Reporting,3.1,111.23,5,1,2
A000131,P0006,E008,2025-08-18,Analysis,4.9,288.11,3,0,0
A000132,P0041,E029,2026-03-30,Reporting,9.2,591.95,0,0,0
A000133,P0003,E038,2025-10-18,Quality Review,5.9,271.22,6,1,2
A000134,P0115,E026,2025-07-02,Analysis,4.8,261.02,4,1,2
A000135,P0088,E001,2025-12-19,Project Administration,9.4,408.13,4,0,0
A000136,P0030,E001,2026-02-01,Kickoff,4.8,364.2,4,0,1
A000137,P0024,E034,2026-09-05,Client Review,11.1,650.2,0,0,0
A000138,P0012,E045,2026-05-13,Data Collection,4.2,332.05,2,0,0
A000139,P0057,E018,2025-09-26,Analysis,3.0,204.06,5,0,1
A000140,P0091,E028,2025-08-30,Data Collection,5.1,293.95,2,0,1
A000141,P0071,E047,2026-02-07,Kickoff,4.9,355.65,7,1,1
A000142,P0106,E042,2026-02-28,Data Collection,3.5,124.01,2,1,1
A000143,P0042,E028,2025-11-06,Issue Resolution,12.0,917.06,3,0,1
A000144,P0034,E033,2025-03-26,Project Administration,6.3,360.76,3,0,0
A000145,P0058,E049,2025-07-13,Reporting,6.7,440.96,0,0,1
A000146,P0025,E040,2025-08-22,Kickoff,4.3,285.54,6,0,0
A000147,P0118,E021,2025-12-15,Issue Resolution,4.1,280.87,1,0,0
A000148,P0023,E035,2025-05-23,Reporting,8.1,624.86,3,2,3
A000149,P0058,E017,2025-08-22,Quality Review,1.3,54.13,7,0,1
A000150,P0063,E047,2025-08-22,Project Administration,2.6,167.28,7,1,2
A000151,P0007,E005,2026-06-26,Stakeholder Meeting,4.9,195.95,1,0,0
A000152,P0057,E012,2025-07-10,Stakeholder Meeting,8.9,436.54,3,0,1
A000153,P0055,E018,2026-03-01,Issue Resolution,4.6,213.24,4,1,2
A000154,P0032,E011,2026-06-28,Quality Review,6.5,461.0,5,1,1
A000155,P0016,E030,2026-07-22,Client Review,5.6,399.65,2,0,1
A000156,P0006,E036,2025-08-31,Client Review,8.7,738.23,4,1,2
A000157,P0002,E045,2025-09-09,Issue Resolution,1.5,99.47,6,0,0
A000158,P0058,E026,2025-08-21,Analysis,7.3,581.67,6,1,2
A000159,P0011,E032,2025-03-01,Kickoff,5.0,441.72,6,0,0
A000160,P0116,E030,2026-04-17,Quality Review,7.8,335.5,7,0,1
A000161,P0030,E001,2026-01-31,Reporting,3.5,273.9,6,1,2
A000162,P0079,E036,2026-06-18,Issue Resolution,5.6,306.19,4,1,2
A000163,P0081,E002,2025-09-24,Analysis,5.2,268.76,7,1,2
A000164,P0060,E028,2025-08-22,Client Review,3.0,278.34,3,0,0
A000165,P0107,E050,2026-01-19,Issue Resolution,2.3,108.99,5,1,2
A000166,P0014,E040,2025-03-18,Issue Resolution,4.0,359.49,7,0,1
A000167,P0029,E026,2025-12-27,Issue Resolution,5.8,489.65,0,0,0
A000168,P0031,E016,2025-12-15,Project Administration,3.6,315.78,7,0,1
A000169,P0017,E042,2026-01-16,Reporting,4.7,329.75,6,0,0
A000170,P0036,E043,2025-11-14,Stakeholder Meeting,0.8,56.07,7,0,1
A000171,P0038,E019,2025-10-01,Stakeholder Meeting,4.6,272.11,6,1,2
A000172,P0092,E006,2026-03-23,Client Review,8.1,478.35,1,0,1
A000173,P0037,E030,2025-06-22,Analysis,7.3,628.09,2,0,1
A000174,P0106,E032,2026-02-17,Reporting,5.3,308.81,0,0,0
A000175,P0093,E047,2025-02-27,Reporting,6.1,391.63,4,1,1
A000176,P0109,E045,2025-12-06,Reporting,3.4,322.26,3,0,0
A000177,P0013,E012,2025-03-12,Stakeholder Meeting,9.6,540.08,3,0,1
A000178,P0119,E013,2025-09-23,Client Review,10.7,902.6,5,0,1
A000179,P0074,E050,2025-12-11,Kickoff,5.9,304.63,6,1,2
A000180,P0118,E017,2025-11-23,Client Review,12.0,438.05,0,2,3
A000181,P0043,E023,2026-03-14,Issue Resolution,3.8,268.3,7,0,1
A000182,P0115,E016,2025-05-12,Issue Resolution,2.4,153.03,2,1,2
A000183,P0071,E020,2026-01-07,Project Administration,3.7,304.14,6,0,1
A000184,P0009,E029,2026-04-29,Stakeholder Meeting,5.0,176.25,4,1,1
A000185,P0050,E015,2025-08-13,Kickoff,11.3,443.34,3,0,1
A000186,P0017,E021,2026-01-11,Reporting,4.8,415.59,1,0,1
A000187,P0113,E018,2026-06-25,Kickoff,3.4,217.09,1,0,1
A000188,P0037,E006,2025-09-17,Analysis,3.3,215.76,5,1,1
A000189,P0027,E040,2026-01-21,Client Review,8.4,407.45,2,0,0
A000190,P0067,E045,2025-07-03,Reporting,8.0,724.44,1,0,1
A000191,P0052,E025,2025-11-16,Reporting,4.3,386.42,0,0,0
A000192,P0012,E011,2026-04-06,Client Review,0.8,52.8,6,1,1
A000193,P0098,E033,2026-07-17,Data Collection,2.7,129.79,3,0,1
A000194,P0102,E027,2026-02-09,Issue Resolution,9.8,920.88,2,1,2
A000195,P0090,E028,2025-06-26,Reporting,7.2,637.54,2,0,0
A000196,P0075,E030,2026-03-06,Stakeholder Meeting,5.7,377.82,4,1,2
A000197,P0049,E036,2025-03-11,Quality Review,10.2,740.36,3,0,1
A000198,P0066,E003,2026-03-22,Quality Review,10.4,638.35,4,0,1
A000199,P0063,E005,2025-08-16,Quality Review,5.4,255.76,2,0,1
A000200,P0020,E005,2026-04-04,Stakeholder Meeting,5.5,417.38,2,0,0
A000201,P0010,E008,2025-03-08,Analysis,4.0,300.59,6,0,0
A000202,P0031,E049,2025-12-16,Data Collection,4.8,325.63,3,1,1
A000203,P0055,E037,2025-12-18,Stakeholder Meeting,1.8,150.96,7,0,0
A000204,P0020,E034,2026-05-08,Analysis,1.8,111.8,6,0,0
A000205,P0013,E035,2025-04-07,Quality Review,1.2,103.99,5,0,1
A000206,P0103,E002,2026-03-23,Project Administration,8.2,393.77,4,0,0
A000207,P0045,E011,2025-12-29,Kickoff,1.6,148.33,6,1,2
A000208,P0071,E040,2025-12-22,Analysis,10.4,491.97,0,0,1
A000209,P0063,E024,2025-08-18,Kickoff,3.7,165.05,3,0,0
A000210,P0089,E026,2025-04-12,Project Administration,9.8,697.8,5,0,0
A000211,P0089,E038,2025-03-25,Client Review,4.6,186.69,0,1,2
A000212,P0036,E004,2025-10-31,Analysis,1.6,72.12,1,1,2
A000213,P0102,E040,2026-02-02,Stakeholder Meeting,8.7,685.06,0,1,2
A000214,P0045,E035,2026-01-28,Client Review,9.0,481.4,3,0,0
A000215,P0101,E021,2026-05-21,Project Administration,3.2,265.62,4,0,1
A000216,P0049,E025,2025-04-14,Reporting,4.7,208.37,3,0,1
A000217,P0014,E004,2025-03-08,Analysis,3.2,185.98,0,1,2
A000218,P0092,E011,2026-01-22,Client Review,5.2,302.52,3,0,0
A000219,P0004,E013,2025-05-10,Client Review,5.8,370.18,7,1,1
A000220,P0093,E044,2025-02-12,Reporting,4.6,274.27,0,0,0
A000221,P0006,E006,2025-07-18,Kickoff,1.0,58.21,6,1,1
A000222,P0025,E015,2025-07-30,Client Review,4.0,218.83,2,0,1
A000223,P0073,E007,2026-06-07,Kickoff,7.3,262.14,0,1,2
A000224,P0113,E015,2026-06-21,Project Administration,5.0,359.98,0,0,1
A000225,P0050,E001,2025-05-01,Issue Resolution,4.7,298.02,0,1,2
A000226,P0015,E014,2025-08-31,Reporting,3.2,183.67,3,0,0
A000227,P0028,E037,2026-03-24,Reporting,4.0,190.74,3,0,1
A000228,P0108,E039,2025-04-03,Kickoff,9.0,796.35,4,1,1
A000229,P0088,E019,2026-01-03,Issue Resolution,2.7,133.04,0,0,1
A000230,P0013,E036,2025-03-02,Analysis,7.3,658.86,5,0,1
A000231,P0047,E031,2025-06-29,Analysis,5.6,269.0,5,0,0
A000232,P0032,E046,2026-02-22,Client Review,6.1,569.04,0,0,0
A000233,P0022,E041,2026-07-25,Project Administration,3.7,222.71,5,0,1
A000234,P0102,E012,2025-12-04,Quality Review,4.6,308.03,0,0,0
A000235,P0075,E030,2026-04-15,Quality Review,5.5,291.11,3,0,0
A000236,P0022,E040,2026-05-05,Quality Review,4.2,383.67,5,0,1
A000237,P0079,E016,2026-05-31,Analysis,6.3,327.31,6,0,1
A000238,P0050,E029,2025-06-22,Reporting,6.6,520.16,4,0,0
A000239,P0008,E021,2026-01-07,Project Administration,10.9,394.9,3,1,2
A000240,P0054,E016,2025-08-17,Stakeholder Meeting,6.2,424.84,6,0,1
A000241,P0023,E010,2025-06-03,Client Review,0.7,55.65,1,1,2
A000242,P0030,E002,2026-03-17,Client Review,8.4,531.32,1,1,2
A000243,P0106,E038,2026-02-06,Issue Resolution,5.0,368.0,3,0,0
A000244,P0086,E041,2025-11-10,Client Review,10.5,851.38,0,1,2
A000245,P0017,E033,2026-01-17,Project Administration,9.2,598.13,0,0,0
A000246,P0103,E013,2025-12-09,Client Review,4.2,201.96,2,0,0
A000247,P0069,E001,2026-04-01,Project Administration,7.3,429.29,1,0,1
A000248,P0105,E032,2026-02-12,Client Review,4.0,315.39,5,0,0
A000249,P0090,E010,2025-10-13,Issue Resolution,5.5,281.96,4,0,0
A000250,P0041,E028,2026-04-20,Project Administration,7.2,525.04,3,0,0
A000251,P0065,E049,2025-04-19,Project Administration,8.3,364.35,3,0,0
A000252,P0064,E001,2025-09-28,Reporting,7.7,699.3,0,0,1
A000253,P0087,E029,2026-03-06,Client Review,5.7,405.72,3,0,1
A000254,P0030,E050,2026-03-27,Project Administration,11.7,738.23,0,0,1
A000255,P0040,E017,2026-06-12,Stakeholder Meeting,4.6,384.98,2,0,0
A000256,P0030,E041,2026-03-25,Data Collection,1.5,124.25,5,1,2
A000257,P0036,E042,2025-11-11,Issue Resolution,2.0,81.68,7,0,0
A000258,P0020,E025,2026-05-26,Reporting,9.2,491.5,2,0,0
A000259,P0005,E016,2025-01-08,Stakeholder Meeting,5.3,331.33,2,0,1
A000260,P0113,E035,2026-05-22,Client Review,5.9,327.05,5,1,1
A000261,P0009,E031,2026-04-11,Kickoff,4.1,221.56,7,1,2
A000262,P0107,E024,2026-02-12,Quality Review,4.4,246.98,2,0,1
A000263,P0001,E010,2026-06-14,Analysis,3.5,152.33,6,1,1
A000264,P0094,E038,2025-06-03,Analysis,6.7,282.51,2,0,1
A000265,P0040,E011,2026-04-08,Project Administration,5.3,268.28,5,1,2
A000266,P0063,E007,2025-09-24,Quality Review,6.6,258.75,1,0,0
A000267,P0034,E004,2025-04-12,Data Collection,6.3,413.36,2,1,1
A000268,P0059,E023,2025-09-28,Stakeholder Meeting,4.4,194.43,7,0,0
A000269,P0055,E007,2025-11-19,Analysis,1.9,74.2,3,0,1
A000270,P0064,E017,2025-09-23,Project Administration,1.6,136.37,0,0,1
A000271,P0048,E013,2025-06-15,Analysis,13.1,920.28,6,0,1
A000272,P0065,E023,2025-05-11,Stakeholder Meeting,9.2,817.89,1,0,1
A000273,P0100,E039,2025-03-26,Stakeholder Meeting,8.9,836.63,0,2,2
A000274,P0053,E023,2025-04-12,Data Collection,3.8,268.33,6,1,2
A000275,P0044,E028,2025-08-08,Issue Resolution,5.5,455.17,2,1,1
A000276,P0016,E008,2026-07-15,Reporting,3.5,156.0,1,0,1
A000277,P0044,E006,2025-12-12,Stakeholder Meeting,2.2,169.18,7,1,2
A000278,P0016,E049,2026-05-27,Stakeholder Meeting,4.0,271.89,2,1,2
A000279,P0022,E031,2026-07-25,Client Review,8.8,665.14,5,0,1
A000280,P0115,E001,2025-05-17,Kickoff,7.6,313.75,2,0,1
A000281,P0011,E029,2025-03-26,Project Administration,3.1,282.56,4,0,0
A000282,P0058,E001,2025-07-18,Reporting,4.7,282.23,5,0,0
A000283,P0101,E004,2026-05-30,Analysis,7.4,603.45,6,0,0
A000284,P0115,E019,2025-06-08,Quality Review,4.1,387.19,3,0,1
A000285,P0018,E033,2025-05-09,Issue Resolution,5.7,498.17,4,0,0
A000286,P0020,E032,2026-03-30,Data Collection,6.5,349.07,6,0,0
A000287,P0045,E040,2026-01-03,Quality Review,6.5,384.27,6,1,2
A000288,P0067,E009,2025-07-03,Reporting,6.1,450.91,5,0,0
A000289,P0116,E010,2026-03-03,Issue Resolution,3.9,262.4,3,1,1
A000290,P0025,E027,2025-07-10,Reporting,4.1,244.43,4,0,0
A000291,P0020,E044,2026-05-17,Client Review,2.7,200.35,7,2,2
A000292,P0031,E037,2026-01-05,Client Review,1.6,143.31,1,1,2
A000293,P0105,E034,2026-01-14,Project Administration,5.2,278.56,5,1,2
A000294,P0004,E005,2025-02-20,Stakeholder Meeting,7.5,320.25,6,0,1
A000295,P0046,E044,2026-04-08,Client Review,2.0,151.09,3,0,1
A000296,P0015,E050,2025-08-25,Analysis,6.2,436.33,6,0,1
A000297,P0019,E030,2026-05-24,Issue Resolution,7.5,670.01,3,0,1
A000298,P0111,E017,2026-01-18,Project Administration,0.9,71.6,6,1,1
A000299,P0001,E034,2026-08-21,Analysis,4.8,282.37,5,0,1
A000300,P0039,E033,2026-05-25,Reporting,9.6,700.8,0,0,0
A000301,P0110,E047,2026-07-01,Issue Resolution,6.9,598.52,6,1,1
A000302,P0073,E006,2026-04-25,Kickoff,0.8,44.68,5,0,1
A000303,P0009,E026,2026-05-14,Client Review,7.1,254.39,1,1,2
A000304,P0056,E036,2025-05-05,Issue Resolution,3.6,261.29,5,0,0
A000305,P0117,E018,2025-10-12,Issue Resolution,7.2,263.2,4,0,1
A000306,P0049,E043,2025-02-20,Data Collection,3.8,346.75,7,0,1
A000307,P0064,E004,2025-11-12,Client Review,5.4,243.5,2,0,0
A000308,P0064,E006,2025-10-09,Issue Resolution,4.2,241.31,2,1,2
A000309,P0080,E040,2026-06-10,Kickoff,5.5,504.77,0,1,1
A000310,P0023,E007,2025-08-04,Client Review,4.1,163.16,6,0,0
A000311,P0101,E021,2026-05-27,Reporting,4.9,172.78,7,0,1
A000312,P0119,E015,2025-08-27,Project Administration,2.6,107.17,5,1,1
A000313,P0018,E035,2025-05-01,Kickoff,6.7,630.89,2,0,1
A000314,P0099,E001,2026-06-11,Project Administration,5.9,550.49,7,0,1
A000315,P0099,E018,2026-04-28,Reporting,1.5,87.11,2,0,1
A000316,P0089,E050,2025-03-20,Analysis,8.0,636.59,5,1,1
A000317,P0045,E019,2026-01-05,Stakeholder Meeting,5.1,403.7,4,0,0
A000318,P0057,E030,2025-07-20,Client Review,5.9,241.83,6,0,0
A000319,P0101,E050,2026-05-11,Project Administration,7.4,363.39,7,2,2
A000320,P0019,E031,2026-04-18,Analysis,6.3,556.54,2,1,2
A000321,P0100,E038,2025-03-16,Project Administration,8.4,377.51,0,0,0
A000322,P0111,E048,2026-01-14,Reporting,4.8,318.01,1,1,2
A000323,P0082,E031,2026-02-21,Data Collection,8.1,402.16,5,1,1
A000324,P0041,E042,2026-04-10,Reporting,5.8,397.05,2,0,1
A000325,P0068,E026,2025-06-15,Issue Resolution,6.8,318.18,1,1,1
A000326,P0007,E041,2026-07-01,Kickoff,6.5,311.64,6,0,0
A000327,P0112,E033,2025-03-17,Kickoff,8.6,325.15,5,0,1
A000328,P0042,E017,2025-11-30,Kickoff,7.3,689.2,1,1,2
A000329,P0007,E028,2026-07-01,Reporting,4.4,183.86,5,1,2
A000330,P0096,E017,2026-04-25,Kickoff,3.9,233.75,5,0,1
A000331,P0079,E020,2026-06-29,Project Administration,5.4,324.29,7,0,1
A000332,P0075,E015,2026-04-29,Data Collection,3.6,191.58,7,1,1
A000333,P0007,E025,2026-07-11,Kickoff,2.9,239.65,7,0,1
A000334,P0091,E018,2025-06-09,Analysis,0.5,27.63,7,1,2
A000335,P0077,E032,2025-11-24,Client Review,1.6,116.04,6,0,0
A000336,P0096,E019,2026-01-06,Project Administration,10.5,709.59,5,0,0
A000337,P0100,E025,2025-04-05,Analysis,3.9,338.68,4,2,3
A000338,P0026,E008,2026-04-11,Quality Review,10.3,866.94,6,1,1
A000339,P0026,E020,2026-02-23,Client Review,6.5,312.5,7,1,1
A000340,P0111,E018,2026-01-19,Issue Resolution,5.4,432.04,0,1,1
A000341,P0064,E049,2025-08-27,Data Collection,1.7,140.34,1,0,1
A000342,P0053,E023,2025-03-28,Issue Resolution,5.5,495.83,3,1,2
A000343,P0035,E002,2026-06-13,Issue Resolution,10.2,946.49,2,0,1
A000344,P0077,E016,2025-09-08,Client Review,9.4,744.65,4,0,0
A000345,P0091,E037,2025-08-18,Quality Review,6.2,384.37,2,0,0
A000346,P0001,E009,2026-07-30,Stakeholder Meeting,2.6,136.7,6,0,0
A000347,P0067,E009,2025-08-12,Project Administration,3.1,269.33,7,0,1
A000348,P0120,E019,2026-04-13,Issue Resolution,3.4,305.77,2,0,1
A000349,P0034,E018,2025-03-17,Quality Review,8.7,355.43,6,0,0
A000350,P0034,E025,2025-03-19,Client Review,9.6,655.29,0,0,1
A000351,P0106,E002,2026-03-02,Stakeholder Meeting,6.0,256.51,6,0,1
A000352,P0008,E037,2025-12-24,Client Review,4.7,235.45,5,0,0
A000353,P0048,E011,2025-06-09,Kickoff,9.4,545.12,5,1,1
A000354,P0055,E036,2026-01-03,Project Administration,3.1,166.38,3,0,1
A000355,P0096,E029,2026-04-19,Quality Review,5.6,436.58,0,1,1
A000356,P0016,E011,2026-08-02,Reporting,6.7,266.24,6,0,1
A000357,P0053,E024,2025-05-18,Data Collection,3.3,237.03,0,1,2
A000358,P0019,E002,2026-04-05,Quality Review,3.9,272.55,3,1,2
A000359,P0095,E036,2025-12-08,Kickoff,3.7,304.26,1,1,2
A000360,P0076,E016,2025-09-07,Project Administration,9.0,367.21,6,1,2
